SerialNo
""
0
E000531
E035595
E004039
E015362
E014304
NONE
211049999999999993969555134976194934241631254010284845395729186816
7576801589
NC 6121 13F
244
T001109
6631302324
7516114311
4002548
3831
1999W129004
495703
496173
505343
6644200597
na
807P0454
807P0503
780402538
1042751275
E009809
E019308
807P0598
3441
6401803
3523
4011330
4006075
UNABLE TO LOCATE
C14010133
UNABLE TO OBTAIN
NO ACCESS
UNKOWN
NO ID
DATA PLATE FADED
675301483BE6.3KW
KF25023101100083
9945
5709
E185251708000062
674605401BE
675301487BE
3005190T
363220
1987
105103
NOT AVAILABLE 
C703105580111A26400001
C703105580111A26400002
C703105580111A26400003
UNKNOWN
14480
2937005211
2937005208
DE6305
DE6304
C703105360211A28400002
2937203985
2974503789
293700538
S01932
E000428
E006098
E006792
E002092
E004035
E000431
E001064
E000459
E001063
T007971
E026332
786623
E004922
1903745
1903754
1905916
E000276
E006789
E014828
E001432
E000919
608564
2233
0498W112358
ACP7011
E004121
E004203
ACP7012
ACP7013
ACP7014
E006974
E003635
E003963
L000105
3594W67917
E004075
E 007900
E 004812
E 001156
T 004011
T 003614
E009245
82603078
E016210
E 015705
E024414
E000257
9 DEX 5430- 012TAPE00038
E001372
E 004720
E 000204
E0244XXX
E016211
E025664
T 004072
E002634
17760
E011334
E031038
E029666
E015603
E009633
4097
E005801
146701397RE
42P00427
E007407
E004750
E013576
E009601
72800030
628 00327
72900011
809000000000000015204933404991227169482584974618719480052099820453855037665736889009835222101585172469397859411847033343635267020693616485957717983232
T002314
E 031148
82800288
E
33000169
3008894T
E 031115
911N0288
UNABLE TO READ
5145512
511583
1201874
1201876
ACCESS ISSUES
NO DATA PLATE
29847
235897
514551290
746097
509987
9887
510448
509984
5300773
5300772
3YA03928
E011004
3ZA03346
33AO3487
PO28189
1259
EO16264
EO11688
39AO2329
39A02333
4002069T
OFFICE LOCKED AT TIME OF VISIT
4003642
45M032-26
45M 03228
45M 03280
45M 0322
4007628 T
4007623T
1453831570
1453831567
530773
E023778
SAME
39A02331
T000072
R000354
R000303
R000437
T000415
T054513
E001746
R001076
R000887
394912
393720
395729
395730
395731
394103
394660
395733
395732
3001532
39A05395
12753-01-01
3XW06064
36U02704
36U02886
3001670
3001643
2027932
2027949
SP3042
SP30039
SP30040
SP30034
SP30038
SP30041
C101401020211C20150022
C101401020211C20150159
C101401020211C20150559
B120385003907707150310
1112886090110130
B116271003906C05120610
B120385003907707150300
207KA003237A3825
2039510001277
5000 357T
7433706428
3001094T
788810008
7433702921
399210502
185
7434303250
43RPS/0.35A/240V/20FCP
A006407
E005627
E000526
E004052
E004049
E000595
E001809
E001808
4915789
4915788
4915790
4915787
71579
J00464477
J017004
J006234
E034680
E034693
E034671
E001439
E002001
J032616
272875
272876
38U0045
38U00446
3000799
38U01751
2014629
4901494
1002270
6001994
37U00091
3000772
38U01746
18U00281
24722
4000336
4000665
8000188T
0006596T
E005537
E000450
T00440
T00503
574110
E033425
E033488
378
646956
-3
E006482
262912
7516603638
E002967
7534502143
4900551
E008075
E004290
641401931 RE
UNREADABLE
E000879
E009487
E009496
T031448
2905010018
4908205
7553007775
732109
E008234
7556001545
061109-015635906
393608672
1757614070900520
175761454060900000
185601178071200000
E002468
E002470
E004014
E006019
7576608605
T005815
92
24013495606641
7536102744
Y3MDPABB500069A
7556001169
E007963
7534302974
3590
14200184
7552900620
7576210445
709TA100614
MFGKBC-02310
7553104797
4905589
7515805639
C101136
7576401841
7576101437
7576501699
7576405185
2015
211KA00126
581404255
3596
7477400133
112900167RE
7553104790
7556001172
E001323
146700015RE
137
7552902633
E001032
E000519
600004
7553000816
83810879
0780710278R
0780710279R
E017550
24580000245
116902859070100000
1169028590701100032
6543002425
E009475
7576301833
YOV7PAFZ700011P
29361222246
7453603038
9013418
9002527
202KA0033
17280
1037
E000656
E000653
C101380220511925130086
E000654
E000702
7552816401
E000652
E000699
E000655
E000684
E000658
2006484
11022
17164
1001341
10245600000000
T002573
E001140
E001620
788401846
E0006478
7555106889
7516604111
7515915402
0338115892RE
7556000908
7534709216
0777207162R
E001609
E007965
6625301683
7575606326
6625201356
Y3GNPAEZA00315F
1375
0778111111R
F037507
7476307591
E001571
EOO7821
EQ11901
0001311 T
1316
1322
9006481
9005775
1380
808157000000
VH79R533G60
E014208
E014459
HBB-02269
E001611
0780709840R
E004315
E004313
E017286
74P00125
007TAGH00199
TBA
E024653
E024860
E024821
E024823
E024854
E024815
E021408
E024344
E002081
E000604
E024651
E024822
E015798
7571100140
K10252046KF
K10252115KF
1000259T
920RB50800475
920RB50800430
920RB-50800441
23170400000000000
YD00XPPAPZ700115D
Y04WPAEQ700018H
COO5095
E001588
E001567
7534405255
7516002999
7552900596
7534304734
7536102302
7534405419
7553006759
7556001523
7516107873
7534700120
C101383330511B10120373
3939305333
750210715
750210755
41930147
RWRDVO572M
1332302002
RWTVZ0092M
300873
9904451
9904441
U99H00340
U99H00339
U98005305
ZC0712
201946
U02B03312
C101381400111926120172
3464900
4907781
60083T
49
810-16052-0630
202392-K12
366604979
1000231T
363621823
57619
57519
S-95732
7477500128
E018414
A1310
C0101004470107A071120143
C101004470107A07120143
400132
6233C260
1856011
644826
91601037
NO SERIAL
608KAGS01911
608KADT01914
241538000000
3701Y00110
1328204304
607-10708-0179
B1162701848C68291
1781170618060999936
1130253756000499968
1370
50130707
20454902 11014
788202445
R000381
A0210
7434316769
73706243
034191JY
34279-1
344
408C050004
4297X47153
1079650001116
7515701156
KBE02404
C101005970107A15120038
YOUJPAFB300011L
3810
RWRDV0657M
2013370002339
799601410
1717802099
87312229
2200070748
861179
LNC 0504802201
22G99A25
9904233
715313524
920PB-10700223-6U1750
311KA00887
001TANY00183
3939305341
T034040
29005014294
7576212073
75762611909
E004714
2SB65025-1
C101001020707924150213
7576212159
7553104088
7555110199
7553007759
6601203379
7552903681
7552707457
7576207849
0014256T
7576301009
2905417126
2013370000000
7152600930
7152601097
7152601008
7246300974
3182222
RBK1142
Y3MPPAFB7000067W
R001897
R001769
E007940
2004644
E001443
Y3M6PADB700024P
J61747
J61579
170276
684915
E007596
7576404239
7555101106
745892
CC48856
6118054003
17 95W01664
287238
301572
301567
200359-J02
12KW HEATER BANK
17 95W01668
16 95W01659
4901587
4901213
4901209
4901219
4902721
4901220
4901215
4901218
4901212
4901217
E103388
T049130
033708190RE
038904814RE
4903160
129600399RE
7534304707
E001773
1234
3P391216-3
3P387594-3
3P391216-7
20778807191
0789198104R
E006800
E006844
E004889
E007017
2007088
417746
7576618631
7576618641
7536201443
7555900824
757608593
7002268
7002805
7002323
200742
2001754
7552707500
E0000903
E000903
E001715
100072
9001013
2003234T
7235
608KA01173
83812832
83012767
TH060EAV1
C1013616711111614120642
6601602592
6601603550
7598803974
7598804024
13MO1396
E000877
15200857
15200759
E900164
E002567
E007022
14878
33504805
